Name,Birth,Death,Covid,Created
Michael A'Hearn,1940-11-17,2017-05-29,False,2007-06-16
Frank Aarebrot,1947-01-19,2017-09-09,False,2008-01-24
Anne Aaserud,1942-07-23,2017-02-14,False,2017-02-18
Paul D. Aasness,1939-12-16,2017-11-21,False,2018-01-12
Henedina Abad,1955-01-26,2017-10-08,False,2017-10-09
Ivan Abadzhiev,1932-02-12,2017-03-24,False,2013-08-01
Magdalena Abakanowicz,1930-06-20,2017-04-20,False,2004-07-20
Luis Abanto Morales,1923-08-25,2017-06-14,False,2006-12-17
Eman Ahmed Abd El Aty,1980-09-09,2017-09-25,False,2016-12-12
Omar Abdel-Rahman,1938-05-03,2017-02-18,False,2002-10-03
Faye Glenn Abdellah,1919-03-13,2017-02-24,False,2006-08-29
Abdul Halim of Kedah,1960-04-30,1991-08-31,False,2004-03-28
Abdulhussain Abdulredha,1939-07-15,2017-08-11,False,2009-02-09
Sheila Abdus-Salaam,1952-03-14,2017-04-12,False,2011-01-22
Robert H. Abel,1941-05-27,2017-04-14,False,2009-11-05
Edmond Abelé,1925-03-04,2017-09-27,False,2017-10-01
Raziel Abelson,1921-06-24,2017-06-14,False,2013-10-01
Miguel Abensour,1939-02-13,2017-04-22,False,2011-03-11
John Abercrombie (guitarist),1944-12-16,2017-08-22,False,2005-09-29
Youssef Anis Abi-Aad,1940-01-12,2017-05-06,False,2015-03-15
Kalabhavan Abi,1964-09-03,2017-11-30,False,2017-11-30
Samson Abioye,1991-03-25,2017-07-28,False,2017-08-11
Ibrahim Abouleish,1937-03-23,2017-06-15,False,2006-06-20
Peter Abrahams,1919-03-03,2017-01-18,False,2004-07-06
Roger D. Abrahams,1933-06-12,2017-06-20,False,2009-12-24
Muhal Richard Abrams,1930-09-19,2017-10-29,False,2003-11-25
Arthur S. Abramson,1925-01-26,2017-12-15,False,2006-12-11
Antero de Abreu,1927-02-22,2017-03-15,False,2016-08-24
Alexei Alexeyevich Abrikosov,1928-06-25,2017-03-29,False,2003-10-12
Abu Umar al-Almani,1986-07-01,2017-03-25,False,2017-03-26
Mohammed Bello Abubakar,1924-01-28,2017-01-28,False,2010-01-29
Vito Acconci,1940-01-24,2017-04-27,False,2003-05-06
Hector Acebes,1921-07-01,2017-04-22,False,2015-08-22
Elmer Acevedo,1949-01-27,2017-08-30,False,2008-11-14
Wolfgang Achtner,1957-07-01,2017-10-31,False,2009-08-27
M. Achuthan,1930-06-15,2017-04-09,False,2019-02-24
Ernie Ackerley,1943-07-01,2017-06-01,False,2013-10-28
Ken Ackerman (radio announcer),1922-07-01,2017-05-28,False,2017-05-29
Roy Ackerman,1942-02-22,2017-05-16,False,2017-07-23
Dan Adamescu,1948-09-20,2017-01-24,False,2017-01-27
J. Allen Adams,1932-01-15,2017-03-24,False,2017-03-27
Marilyn McCord Adams,1943-10-12,2017-03-22,False,2005-06-09
Mick Adams,1951-09-28,2017-03-09,False,2006-07-25
Red Adams,1921-10-07,2017-01-18,False,2007-08-22
Ritchie Adams,1938-12-15,2017-03-06,False,2017-04-19
Russ Adams (tennis photographer),1930-07-30,2017-06-28,False,2007-09-19
"Steve Adams (footballer, born 1959)",1959-09-07,2017-03-03,False,2013-10-28
Wiesław Adamski,1947-07-26,2017-02-10,False,2009-11-26
Recep Adanır,1929-05-03,2017-05-20,False,2009-01-05
Abe Addams,1926-07-12,2017-12-10,False,2015-04-11
Herbert Addo,1951-06-24,2017-03-24,False,2017-04-03
Robert Adeyinka Adebayo,1928-03-09,2017-03-08,False,2009-06-01
Isiaka Adeleke,1955-01-15,2017-04-23,False,2009-09-20
Irma Adelman,1930-03-14,2017-02-05,False,2007-03-18
Oluyemi Adeniji,1934-07-22,2017-11-26,False,2004-08-19
Adithyan,1954-04-09,2017-12-05,False,2014-02-12
Lou Adler (journalist),1929-04-18,2017-12-22,False,2008-09-19
