Name,Birth,Death,Covid,Created
Torvild Aakvaag,1927-01-27,2020-04-09,False,2009-01-26
Chloe Aaron,1938-10-09,2020-02-29,False,2020-04-14
Harry Aarts,1930-03-09,2020-03-25,True,2020-03-27
Mohammed Abaamran,1932-07-01,2020-02-20,False,2020-02-24
André Abadie,1934-07-27,2020-01-07,False,2020-01-11
Claude Abadie,1920-01-16,2020-03-29,False,2017-03-06
Marcello Abbado,1926-10-07,2020-06-04,False,2010-07-29
Saadi Toma Abbas,1939-03-17,2020-06-23,False,2020-07-22
Jim Abbott (Canadian politician),1942-08-18,2020-07-26,False,2003-10-18
Abd al-Rahman Abd al-Khaliq,1939-11-05,2020-09-29,False,2020-09-29
Mouzawar Abdallah,1941-07-01,2020-04-30,False,2020-05-23
Mohammad S. Abdeli,1946-07-01,2020-02-07,False,2019-12-03
Abderrazak Afilal Alami Idrissi,1923-07-01,2020-10-25,False,2020-10-26
Belaid Abdessalam,1928-07-20,2020-06-27,False,2004-11-25
Hawa Abdi,1947-05-17,2020-08-05,False,2011-03-22
Al Tayeb Abdul Rahim,1944-07-01,2020-03-18,False,2020-03-24
Abdul Rahman Arshad,1936-11-27,2020-08-16,False,2020-09-02
Inuwa Abdulkadir,1966-01-12,2020-07-06,True,2020-07-06
Sheikh Md Abdullah,1945-09-08,2020-06-13,True,2019-02-24
Masatoshi Abe,1942-11-04,2020-10-25,False,2004-07-14
Alan Abel (musician),1928-12-06,2020-04-25,True,2017-04-03
Roy Abell,1931-01-21,2020-06-30,False,2007-07-30
"Alexander Gordon, 7th Marquess of Aberdeen and Temair",1955-03-31,2020-03-12,False,2005-07-20
Anders Åberg (actor),1948-09-04,2020-03-08,False,2014-03-08
Srilal Abeykoon,1953-12-31,2020-04-16,False,2020-06-26
Zara Abid,1992-04-04,2020-05-22,False,2020-05-22
Oscar Abolafia,1935-07-01,2020-03-30,False,2015-03-18
Parviz Aboutaleb,1942-07-01,2020-06-09,False,2011-09-30
Afwerki Abraha,1949-07-01,2020-05-13,True,2020-06-09
Alan Abraham,1931-02-01,2020-10-02,False,2005-08-23
Henry J. Abraham,1921-08-25,2020-02-26,False,2009-07-06
Dolores Abril,1935-05-09,2020-10-25,False,2018-07-03
DeAndrey Abron,1972-07-31,2020-03-08,False,2008-04-26
Abu Bakar Juah,1948-04-29,2020-08-15,False,2020-08-22
Farouk Abu Issa,1933-08-12,2020-04-12,False,2015-07-21
Muhammad Abu Khubza,1932-07-30,2020-01-30,False,2013-01-26
Abu Muhsin al-Masri,1958-07-01,2020-10-24,False,2020-10-25
Rodolfo Abularach,1933-01-07,2020-08-30,False,2006-04-13
Jacques F. Acar,1931-04-13,2020-03-27,True,2020-04-04
Katcho Achadjian,1951-06-02,2020-03-05,False,2010-12-19
Jan D. Achenbach,1935-08-20,2020-08-22,False,2010-12-15
Hassan Achour,1938-03-14,2020-09-17,False,2017-08-15
Derek Acorah,1950-01-27,2020-01-03,False,2005-07-04
Allan Acosta,1924-08-10,2020-05-18,False,2017-03-04
Lorenzo Acquarone,1931-02-25,2020-03-24,True,2010-03-08
Ben Acton,1927-12-02,2020-07-10,False,2017-12-17
János Aczél (mathematician),1924-12-26,2020-01-01,False,2009-05-07
Ken Joe Ada,1982-09-28,2020-02-18,False,2020-02-20
Yuji Adachi,1964-03-10,2020-06-16,False,2004-09-25
Robert Adair (physicist),1924-08-14,2020-09-28,False,2008-04-01
Trevor Adair,1961-07-01,2020-10-28,False,2008-03-23
David Adam (priest),1936-07-01,2020-01-24,False,2006-02-25
Philippe Adamov,1956-06-27,2020-02-03,False,2020-02-06
Elizabeth Nelson Adams,1941-01-22,2020-03-02,False,2013-11-22
India Adams,1927-03-05,2020-04-25,False,2013-06-13
James Adams (diplomat),1932-04-30,2020-04-24,False,2009-07-11
James B. Adams,1926-12-21,2020-04-25,False,2005-07-26
Marcel Adams,1920-08-02,2020-08-11,False,2017-04-08
Mike Adams (columnist),1964-10-30,2020-07-23,False,2015-08-29
Herb Adderley,1939-06-08,2020-10-30,True,2005-02-05
Paul Addison,1943-05-03,2020-01-21,False,2006-05-11
Nadjmi Adhani,1969-09-27,2020-08-10,True,2020-09-01
Ranu Devi Adhikari,1936-11-27,2020-04-30,False,2015-02-10
Sergei Adian,1931-01-01,2020-05-05,False,2006-05-06
Richard Adjei,1983-01-30,2020-10-26,False,2010-01-09
Bennie G. Adkins,1934-02-01,2020-04-17,True,2014-09-16
Joseph Adler,1940-10-05,2020-04-16,False,2009-11-22
Steve Adubato Sr.,1932-12-24,2020-10-13,False,2010-01-06
Viktor Afanasyev (military musician),1947-05-17,2020-02-01,False,2017-09-29
Execution of Navid Afkari,1993-07-01,2020-09-12,False,2020-09-06
Kwadwo Owusu Afriyie,1957-07-01,2020-07-01,True,2017-12-18
Opoku Afriyie,1955-02-02,2020-03-29,False,2007-04-06
Muhammad Afzal (wrestler),1939-04-07,2020-04-21,True,2018-06-02
Adalet Ağaoğlu,1929-10-23,2020-07-14,False,2010-02-09
Simonluca Agazzone,1981-07-23,2020-10-01,False,2010-04-27
Yawovi Agboyibo,1943-12-31,2020-05-30,False,2006-09-22
Fidel Agcaoili,1944-08-08,2020-07-23,False,2020-08-09
Syed Fazal Agha,1946-07-01,2020-05-20,True,2014-04-01
Agnivesh,1939-09-21,2020-09-11,False,2007-05-16
"Francisco Aguilar (footballer, born 1949)",1949-03-26,2020-05-11,False,2009-09-14
Sergio Salvador Aguirre Anguiano,1943-02-01,2020-06-21,False,2008-01-28
Jack Ah Kit,1950-07-22,2020-07-12,False,2010-10-30
Emajuddin Ahamed,1933-12-15,2020-07-17,False,2009-11-18
Aloysius Ahearn,1926-07-01,2020-04-30,False,2020-05-25
Isher Judge Ahluwalia,1945-10-01,2020-09-26,False,2007-06-14
Ahmad NikTalab,1934-04-22,2020-03-03,False,2020-05-17
Ahmed Adghirni,1947-05-05,2020-10-19,False,2020-10-20
Ahmed Badouj,1950-07-01,2020-08-22,True,2020-08-22
Chaudhary Khurshid Ahmed,1934-06-20,2020-02-17,False,2017-12-14
Sufia Ahmed,1932-11-20,2020-04-09,False,2016-06-13
Syed Imtiaz Ahmed,1954-04-27,2020-02-14,False,2020-03-30
Marlene Ahrens,1933-07-27,2020-06-17,False,2004-08-23
Lucien Aimé-Blanc,1935-03-23,2020-02-19,False,2006-05-19
Aisultan Nazarbayev,1990-08-26,2020-08-16,False,2020-08-17
Nasir Ajanah,1956-07-01,2020-06-28,True,2020-06-15
Abiola Ajimobi,1949-12-16,2020-06-25,True,2011-04-27
Aidar Akayev,1976-02-20,2020-02-05,False,2018-11-18
Karim Akbari Mobarakeh,1953-06-06,2020-10-29,True,2014-12-10
Nihat Akbay,1945-01-01,2020-03-24,False,2020-03-24
Vehbi Akdağ,1949-01-01,2020-06-23,False,2009-01-09
Henry Akin,1944-07-31,2020-02-16,False,2007-08-27
Bode Akindele,1933-06-02,2020-06-29,False,2020-06-30
Richard Akinjide,1930-11-04,2020-04-21,False,2007-03-01
Theophilus Adeleke Akinyele,1932-02-29,2020-10-26,False,2006-03-26
George Akiyama,1943-04-27,2020-05-12,False,2008-01-01
Yūtokutaishi Akiyama,1935-07-01,2020-04-03,False,2009-03-15
Akkitham Achuthan Namboothiri,1926-03-18,2020-10-15,False,2010-03-18
Aleksandr Aksinin,1954-11-04,2020-07-28,False,2004-10-27
Fevzi Aksoy,1930-05-01,2020-03-28,True,2020-04-14
Badr al-Zamān Qarīb,1929-08-23,2020-07-28,False,2020-08-03
Nicholas Alahverdian,1987-07-11,2020-02-29,False,2019-11-14
Israfil Alam,1966-03-13,2020-07-27,True,2018-03-07
Mahbubey Alam,1949-02-17,2020-09-27,True,2016-10-06
ATM Alamgir,1950-07-01,2020-08-03,True,2020-04-19
Eduardo Alas Alfaro,1930-07-02,2020-02-27,False,2020-02-28
Soledad Alatorre,1927-07-01,2020-03-25,False,2016-10-31
Baldiri Alavedra,1944-02-21,2020-04-13,True,2020-04-13
Oliver Batali Albino,1935-11-11,2020-01-04,False,2018-02-20
Dan Andrei Aldea,1950-03-09,2020-01-18,False,2007-05-07
Vernon Alden,1923-04-07,2020-06-22,False,2012-01-30
Berni Alder,1925-09-09,2020-09-07,False,2010-02-11
Helene Aldwinckle,1920-10-26,2020-04-24,False,2020-06-04
Nikos Alefantos,1939-01-03,2020-06-23,False,2006-04-13
Marat Aleksanian,1949-08-03,2020-04-19,False,2010-04-01
Hernán Alemán (politician),1955-05-21,2020-07-07,True,2020-05-26
Roberto Alemann,1922-12-22,2020-03-27,False,2009-08-13
Marconi Alencar,1939-03-21,2020-06-21,True,2020-06-27
Barney Ales,1934-05-13,2020-04-17,False,2020-07-01
Alberto Alesina,1957-04-29,2020-05-23,False,2007-06-24
Duane Alexander,1940-08-11,2020-02-16,False,2007-06-13
Jane Alexander (politician),1929-11-29,2020-05-06,False,2020-05-14
Peter Alexander (artist),1939-02-27,2020-05-26,True,2011-03-07
Stoyan Alexandrov,1949-06-14,2020-08-24,False,2005-10-29
Ekaterina Alexandrovskaya,2000-01-01,2020-07-17,False,2016-09-30
Alexander Alexeev (conductor),1938-03-10,2020-10-07,False,2019-05-11
Tatyana Aleynikova,1931-01-26,2020-06-29,False,2020-07-02
Agustín Alezzo,1935-08-15,2020-07-09,True,2020-07-14
Nicolas Alfonsi,1936-04-13,2020-03-16,True,2008-11-11
Antonio Ángel Algora Hernando,1940-10-02,2020-10-15,True,2020-10-16
Ahmed Ali (Bangladeshi politician),1932-03-01,2020-01-11,False,2020-01-11
Alauddin Ali,1952-12-24,2020-08-09,False,2016-01-10
Jinnat Ali,1996-07-01,2020-04-28,False,2019-04-03
Md. Rahamat Ali,1945-09-16,2020-02-16,False,2018-08-04
Božidar Alić,1954-12-24,2020-03-03,False,2015-12-31
Lexii Alijai,1998-02-19,2020-01-01,False,2017-05-31
Jan Aling,1949-06-24,2020-05-09,False,2020-05-10
Jimoh Aliu,1939-11-11,2020-09-17,False,2015-02-16
Sadhu Aliyur,1963-07-01,2020-02-20,False,2017-12-13
Ebrahim Alkazi,1925-10-18,2020-08-04,False,2007-02-23
Erik Allardt,1925-08-09,2020-08-25,False,2018-01-03
Barry Allen (musician),1945-07-29,2020-04-04,False,2009-01-02
Charles Allen (writer),1940-07-01,2020-08-16,False,2006-09-20
Frances Allen,1932-08-04,2020-08-04,False,2007-02-06
Ingrid Allen,1932-06-30,2020-04-21,False,2018-07-18
Nicholas Allen (anthropologist),1939-07-08,2020-03-21,False,2020-09-08
Raymond Allen (television actor),1929-03-05,2020-08-10,False,2007-07-24
Sonny Allen,1936-03-08,2020-09-11,False,2018-08-10
Tony Allen (musician),1940-07-01,2020-04-30,False,2005-07-08
Norman Allinger,1928-04-06,2020-07-08,False,2006-09-24
Michael Allison,1958-08-07,2020-01-09,False,2015-05-22
Wick Allison,1948-03-17,2020-09-01,False,2007-07-01
Yvette Alloo,1930-06-21,2020-09-23,False,2020-09-26
Bruce Allpress,1930-08-25,2020-04-23,False,2004-09-12
Emilio Allué,1935-02-18,2020-04-26,True,2009-05-14
Graeme Allwright,1926-11-07,2020-02-16,False,2009-01-04
Rubén Almanza,1929-07-28,2020-01-05,False,2018-06-16
Hélène d'Almeida-Topor,1932-10-02,2020-08-01,False,2020-08-02
Albert Almoznino,1923-03-03,2020-04-07,False,2007-10-19
Robert Alner,1943-11-21,2020-02-03,False,2007-11-24
Folke Alnevik,1919-12-31,2020-08-17,True,2006-09-23
Vital Alsar,1933-08-07,2020-09-15,False,2009-04-11
Adam Alsing,1968-10-12,2020-04-15,True,2006-12-18
Ian Alsop,1943-06-14,2020-05-02,False,2008-05-27
John Altobelli,1963-05-08,2020-01-26,False,2020-01-27
Levon Altounian,1936-02-15,2020-09-06,False,2008-05-21
Peter Aluma,1973-04-23,2020-02-02,False,2005-10-16
Faith Alupo,1983-10-09,2020-09-15,True,2020-04-14
Javier Alva Orlandini,1927-12-11,2020-06-01,False,2012-08-01
Daniel Alvarado,1949-08-12,2020-07-08,False,2006-05-12
Antonio Álvarez Solís,1929-07-18,2020-03-30,False,2020-04-23
Heherson Alvarez,1939-10-26,2020-04-20,True,2011-08-13
Charles Alverson,1935-10-13,2020-01-19,False,2005-06-02
Jaime Alves,1965-03-28,2020-09-21,False,2010-05-08
Abdoulatifou Aly,1960-04-12,2020-06-27,False,2008-11-28
Gésio Amadeu,1947-07-01,2020-08-05,True,2020-08-19
Norman Amadio,1928-04-14,2020-01-21,False,2009-12-20
Amanullah (comedian),1946-07-01,2020-03-06,False,2013-06-29
Larry Amar,1972-02-24,2020-01-21,False,2005-12-14
Saïd Amara,1933-03-11,2020-08-02,False,2016-06-28
Saïd Amara (handball),1944-03-28,2020-02-11,False,2020-02-12
Clarice Amaral,1935-10-12,2020-06-27,False,2020-07-08
Suzana Amaral,1932-03-28,2020-06-25,False,2008-09-14
Jaime Amat,1941-09-01,2020-02-18,False,2019-09-26
Alfonsas Vincentas Ambraziūnas,1933-05-12,2020-05-07,False,2020-06-11
Efigenio Ameijeiras,1931-07-01,2020-02-10,False,2009-01-28
Mohammad Ami-Tehrani,1935-09-20,2020-03-15,False,2017-06-30
Samia Amin,1945-03-24,2020-08-02,False,2020-08-04
Ebrahim Amini,1925-06-30,2020-04-24,False,2007-01-23
Angelika Amon,1967-01-10,2020-10-29,False,2009-09-10
Suresh Amonkar,1952-05-15,2020-07-06,True,2019-07-11
Renee Amoore,1953-01-24,2020-05-05,False,2006-03-09
Emma Amos (painter),1937-03-16,2020-05-20,False,2009-06-04
François Amoudruz,1926-07-01,2020-07-21,False,2020-07-24
G. S. Amur,1925-05-08,2020-09-28,False,2008-01-17
Amvrosius Parashkevov,1942-06-09,2020-08-18,True,2020-08-23
Doug Anakin,1930-11-06,2020-04-25,False,2007-02-24
Pietro Anastasi,1948-04-07,2020-01-17,False,2006-09-07
José Vicente Anaya,1947-01-22,2020-08-01,False,2020-08-04
Rudolfo Anaya,1937-10-30,2020-06-28,False,2004-10-22
J. Anbazhagan,1958-06-10,2020-06-10,True,2011-08-27
K. Anbazhagan,1922-12-19,2020-03-07,False,2008-06-17
Bob Andelman,1960-10-09,2020-02-24,False,2013-10-29
Francis Andersen,1925-07-28,2020-05-13,False,2009-03-07
Per Andersen,1930-01-12,2020-02-17,False,2005-11-11
Edean Anderson Ihlanfeldt,1930-04-15,2020-04-27,False,2018-08-23
Bryan Anderson (politician),1942-07-05,2020-09-04,False,2007-05-15
Dwight Anderson (basketball),1960-12-28,2020-09-05,False,2006-07-29
Eric Anderson (teacher),1936-05-27,2020-04-22,False,2004-05-26
Harold David Anderson,1923-09-06,2020-06-17,False,2017-06-25
Lynford Anderson,1941-07-08,2020-03-16,False,2009-10-03
Norman C. Anderson,1928-03-11,2020-06-27,False,2012-01-11
Philip W. Anderson,1923-12-13,2020-03-29,False,2003-12-10
Tony Anderson,1942-01-31,2020-04-01,False,2008-03-26
Bernt Andersson,1933-09-05,2020-01-06,False,2015-03-02
Michael Anderton,1931-12-07,2020-04-28,False,2008-08-12
Péter Andorai,1948-04-25,2020-02-01,False,2010-08-15
José Paulo de Andrade,1942-05-18,2020-07-17,True,2020-07-18
Michel Andrault,1926-12-17,2020-04-05,False,2020-04-23
François André,1967-07-19,2020-02-11,False,2017-06-23
Elvia Andreoli,1950-01-04,2020-03-28,False,2007-02-08
John Andretti,1963-03-12,2020-01-30,False,2005-03-22
Roy Andrewartha,1938-04-23,2020-10-15,False,2015-08-23
Mark Andrews (politician),1926-05-19,2020-10-03,False,2004-11-20
Mark Andrews (rower),1959-11-25,2020-03-20,False,2016-07-06
Vladimir Andreyev (actor),1930-08-27,2020-08-29,False,2018-05-06
Nina Andreyeva,1938-10-12,2020-07-24,False,2008-08-17
Bob Andy,1944-10-28,2020-03-27,False,2006-09-10
Gian Franco Anedda,1930-08-28,2020-07-17,False,2020-07-17
Suresh Angadi,1955-06-01,2020-09-23,True,2006-03-07
Norberto Ángeles,1977-06-06,2020-08-17,False,2020-08-29
Nando Angelini,1933-08-17,2020-08-07,False,2015-04-22
Michael Angelis,1944-04-29,2020-05-30,False,2004-02-06
Ângelo Martins,1930-04-19,2020-10-11,False,2007-03-11
Marc Angelucci,1968-03-30,2020-07-11,False,2020-07-22
Katerina Anghelaki-Rooke,1939-02-22,2020-01-21,False,2011-05-04
Rubén Anguiano,1955-11-17,2020-09-28,True,2020-09-29
Julio Anguita,1941-11-21,2020-05-16,False,2003-07-19
Mathew Anikuzhikattil,1942-09-23,2020-05-01,False,2020-05-01
Anisuzzaman,1937-02-18,2020-05-14,True,2011-06-02
Jean-Claude Annaert,1935-08-22,2020-09-12,False,2020-08-31
Allah Yar Ansari,1943-05-01,2020-05-01,True,2020-05-02
Shahnaz Ansari,1970-01-10,2020-02-15,False,2018-03-09
Edmund Ansin,1936-03-09,2020-07-26,False,2013-08-10
Kęstutis Antanėlis,1951-03-28,2020-10-12,False,2009-03-11
Ryan Anthony,1969-05-17,2020-06-23,False,2006-03-31
Radomir Antić,1948-11-22,2020-04-06,False,2005-08-17
Souzána Antonakáki,1935-06-25,2020-07-05,False,2020-07-06
Johnny Antonelli,1930-04-12,2020-02-28,False,2004-09-08
Xana Antunes,1964-05-17,2020-01-27,False,2018-08-15
Richard Anuszkiewicz,1930-05-23,2020-05-19,False,2004-05-15
Dani Anwar,1968-02-22,2020-08-03,True,2020-08-04
Takuo Aoyagi,1936-02-14,2020-04-18,True,2020-05-02
Antonia Apodaca,1923-11-01,2020-01-25,False,2014-07-15
Mike Appleton,1936-12-30,2020-04-02,False,2020-04-21
Leonard Appleyard,1938-09-02,2020-02-07,False,2010-04-02
Aharon April,1932-06-06,2020-02-12,False,2015-04-16
Tessie Aquino-Oreta,1944-06-28,2020-05-14,False,2007-04-14
Román Arámbula,1936-07-01,2020-03-19,False,2020-04-02
Hugo Arana,1943-07-23,2020-10-11,True,2010-07-29
Jerónimo Arango,1927-07-01,2020-04-04,False,2005-02-10
Alberto Arbasino,1930-01-22,2020-03-22,False,2009-06-19
Luis Arce Gómez,1938-07-01,2020-03-30,False,2006-08-01
Robert Archibald,1980-03-29,2020-01-23,False,2005-10-26
José Rodrigo Aréchiga Gamboa,1980-06-15,2020-05-15,False,2014-01-04
Gudrun Arenander,1921-03-25,2020-08-28,False,2011-04-09
Joe Arenas,1925-12-12,2020-06-30,False,2007-11-08
Gregory Areshian,1949-05-13,2020-08-02,True,2016-09-21
Javier Arevalo,1937-04-29,2020-02-12,False,2010-05-06
Savenaca Aria,1964-04-30,2020-03-15,False,2017-05-07
Javier Arias Stella,1924-08-02,2020-02-25,False,2010-03-16
Eduardo Arias,1956-07-01,2020-08-01,False,2007-10-02
Luis Arias Graziani,1926-04-21,2020-07-13,True,2020-07-18
Khalid Mahmud Arif,1930-12-29,2020-03-06,False,2007-10-09
Duilio Arigoni,1928-12-06,2020-06-10,False,2007-09-19
Luigi Arisio,1926-03-25,2020-09-29,False,2020-09-29
Francisco Aritmendi,1938-07-01,2020-04-12,True,2016-05-06
M. K. Arjunan,1936-03-01,2020-04-06,True,2010-01-17
Mykolas Arlauskas,1930-10-10,2020-02-07,False,2008-12-06
Siah Armajani,1939-07-10,2020-08-27,False,2005-01-17
Joan Armengol,1923-07-01,2020-02-16,False,2020-02-17
Arminsyah,1960-05-03,2020-04-04,False,2020-05-01
Bob Armstrong,1939-10-03,2020-08-27,False,2005-04-03
Brice Armstrong,1936-01-03,2020-01-10,False,2006-09-14
"Robert Armstrong, Baron Armstrong of Ilminster",1927-03-30,2020-04-03,False,2005-03-11
Béatrice Arnac,1931-04-23,2020-10-05,False,2020-10-08
Georges-Jean Arnaud,1928-07-03,2020-04-26,False,2004-04-21
Jesse Arnelle,1933-12-30,2020-10-21,False,2007-09-07
Neda Arnerić,1953-07-15,2020-01-10,False,2007-10-17
William Arnett,1939-05-10,2020-08-12,False,2011-09-14
Guy Arnold,1932-05-06,2020-01-04,False,2012-11-04
Ronne Arnold,1938-07-01,2020-02-13,False,2020-02-17
Sean Arnold,1941-01-30,2020-04-15,False,2006-03-25
Shlomo Aronson (historian),1936-07-01,2020-02-21,False,2020-02-06
Tolulope Arotile,1995-12-13,2020-07-14,False,2020-07-16
Brian Arrowsmith,1940-07-02,2020-04-12,True,2017-01-04
Miguel Arroyo,1966-12-06,2020-01-30,False,2006-06-28
Gérard Arseguel,1938-07-01,2020-02-29,False,2020-03-22
Lidija Pavlovna Arseneva,1940-12-04,2020-06-16,False,2020-06-19
Zijad Arslanagić,1936-04-18,2020-01-07,False,2010-07-15
Owen Arthur,1949-10-17,2020-07-27,False,2003-12-08
Miguel Artola Gallego,1923-07-12,2020-05-26,False,2020-05-30
Khalid al-Aruri,1967-07-25,2020-06-14,False,2015-10-15
Khandaker Asaduzzaman,1935-10-22,2020-04-25,False,2018-11-04
Kelly Asbury,1960-01-15,2020-06-26,False,2006-06-12
Diego C. Asencio,1931-07-15,2020-10-06,False,2008-07-05
Mohammad Asghar,1945-09-30,2020-06-16,False,2007-05-04
"John Baring, 7th Baron Ashburton",1928-11-02,2020-10-06,False,2004-09-05
Sei Ashina,1983-11-22,2020-09-14,False,2007-05-04
Arthur Ashkin,1922-09-02,2020-09-21,False,2005-11-16
Beth Ashley,1926-05-21,2020-05-01,False,2017-12-23
Hesham Ashmawy,1978-07-01,2020-03-04,False,2018-10-09
Joe Ashton,1933-10-09,2020-03-30,False,2004-01-14
Azimzhan Askarov,1951-05-17,2020-07-25,False,2011-04-17
Valerie Askew,1939-01-25,2020-08-27,False,2020-09-19
Muhammad Aslam (judge),1947-03-10,2020-07-20,True,2009-02-06
Timoshenko Aslanides,1943-12-24,2020-01-06,False,2008-09-04
Fips Asmussen,1938-04-30,2020-08-09,False,2011-10-30
Francisco de Assis Luz Silva,1943-10-04,2020-09-09,False,2020-09-11
Barbara Assoon,1929-07-01,2020-04-15,False,2006-10-16
Éric Assous,1956-03-30,2020-10-12,False,2017-01-07
Gordon Astall,1927-09-22,2020-10-21,False,2006-06-13
Brian Astbury,1941-11-14,2020-03-05,False,2020-05-26
Jean-Guy Astresses,1929-06-24,2020-03-30,False,2020-04-06
Thomas Atcitty,1933-11-01,2020-10-11,False,2007-09-26
Serhiy Atelkin,1972-01-08,2020-10-01,False,2007-08-18
Charles Atger,1921-06-18,2020-03-15,False,2020-03-24
Dick Atha,1931-09-21,2020-02-06,False,2007-09-07
Bhanu Athaiya,1929-04-28,2020-10-15,False,2006-07-16
Michael Athans,1937-05-03,2020-05-26,False,2008-04-26
Daphne Athas,1923-11-19,2020-07-28,False,2017-01-27
Ayşegül Atik,1948-07-01,2020-06-09,False,2020-06-12
Esin Atıl,1937-06-11,2020-02-20,False,2020-05-02
Bob Atkins (American football),1946-04-02,2020-09-22,False,2007-08-14
Sweet Pea Atkinson,1945-09-20,2020-05-05,False,2017-03-29
Vishnu Raj Atreya,1944-11-10,2020-07-18,False,2014-01-14
Lena Atti,1926-07-01,2020-04-27,False,2018-04-10
Mohamed Atwi,1987-01-10,2020-09-18,False,2008-05-05
Whitlow Au,1940-07-31,2020-02-12,False,2006-03-14
Pierre Aubenque,1929-07-23,2020-02-23,False,2020-03-05
Larry Aubry,1933-07-01,2020-05-16,False,2020-05-23
Marguerite Aucouturier,1932-07-07,2020-03-21,True,2016-04-03
Michel Auger,1944-06-27,2020-11-01,False,2006-08-31
Naresh Aula,1986-05-05,2020-06-10,False,2013-04-16
Dominique Aulanier,1973-09-13,2020-07-31,False,2020-08-01
Aldo Aureggi,1931-10-06,2020-08-21,False,2010-10-31
Mike Auret,1936-12-14,2020-04-10,True,2020-05-12
