Name,Birth,Death,Covid,Created
Lee Aaker,1943-09-25,2021-04-01,False,2006-01-02
Joann Aalfs,1923-03-29,2021-02-03,False,2012-01-04
Risto Aaltonen,1939-03-16,2021-03-08,False,2012-07-25
Hank Aaron,1934-02-05,2021-01-22,True,2001-12-22
Katherine Aaslestad,1961-05-30,2021-04-24,False,2021-05-06
Naïma Ababsa,1963-08-16,2021-04-18,False,2021-04-19
Salleh Abas,1929-08-25,2021-01-16,True,2006-02-21
Abay Tsehaye,1953-04-29,2021-01-13,False,2005-09-01
Ali Yahia Abdennour,1921-01-18,2021-04-25,False,2020-07-25
Gaziza Abdinabiyeva,1948-01-03,2021-04-18,False,2021-04-21
Sabah Abdul-Jalil,1951-07-01,2021-02-28,True,2015-09-14
Faisal Abdulaziz,1968-01-08,2021-02-19,False,2012-09-16
Abdulkadir Orire,1934-07-01,2021-01-26,False,2021-01-27
Soraya Abdullah,1978-08-03,2021-02-01,True,2021-02-02
Habibullah Abdurazzaq,1937-11-07,2021-01-19,False,2021-01-22
Bruce Abel,1936-07-25,2021-03-10,False,2009-03-02
Edward William Abel,1931-12-03,2021-04-19,False,2015-01-14
Harry Abend,1937-05-05,2021-01-18,False,2011-12-16
Bengt Åberg,1944-06-26,2021-03-06,False,2007-12-20
Bob Abernethy,1927-11-05,2021-05-02,False,2005-01-07
Rais Abin,1926-08-15,2021-03-25,False,2021-03-29
Medea Abrahamyan,1932-03-08,2021-03-03,False,2017-09-18
Mara Abrantes,1934-05-31,2021-04-28,False,2021-04-28
Maria João Abreu,1964-04-14,2021-05-13,True,2021-05-13
Andrés Abt,1973-07-01,2021-03-12,True,2021-03-13
Abu Sujak Mahmud,1939-01-04,2021-02-11,False,2021-02-11
Gurnam Singh Abulkhurana,1931-04-16,2021-03-23,False,2021-03-22
Ahmed Achour,1945-02-06,2021-01-29,False,2012-04-24
Simon Achidi Achu,1934-11-05,2021-05-04,False,2005-07-13
Tom Acker,1930-03-07,2021-01-04,False,2006-05-14
Franco Acosta,1996-03-05,2021-03-06,False,2014-04-18
Alfons Adam,1944-08-01,2021-05-03,False,2021-05-07
Tasso Adamopoulos,1944-07-01,2021-01-03,True,2017-12-03
Phillip Adams (American football),1988-07-20,2021-04-08,False,2010-04-24
José Adauto Bezerra,1926-07-03,2021-04-03,True,2021-04-04
Sheldon Adelson,1933-08-04,2021-01-11,False,2005-03-13
Maurice Adevah-Pœuf,1943-03-27,2021-05-10,False,2021-05-12
Felicia Adeyoyin,1938-11-06,2021-05-01,False,2021-05-10
Nii Ayikai Adjin-Tettey,1930-07-20,2021-04-23,False,2021-04-25
Manfred Aebi,1932-08-21,2021-04-06,False,2021-04-07
Valentin Afonin,1939-12-22,2021-04-02,False,2007-03-11
Amīr Aṣlān Afshār,1919-11-22,2021-02-18,True,2021-02-20
Mavis Agbandje-McKenna,1963-04-11,2021-03-03,False,2020-06-08
Roser Agell i Cisa,1924-07-01,2021-05-03,False,2021-05-04
K. K. Aggarwal (cardiologist),1958-09-05,2021-05-17,True,2014-11-09
Xabier Agirre,1951-04-08,2021-02-13,False,2021-02-19
Edwin E. Aguilar,1974-08-16,2021-04-10,False,2021-05-04
Gonzalo Aguirre Ramírez,1940-01-25,2021-04-27,False,2005-09-14
Sabiamad Abdul Ahad,1956-03-20,2021-04-10,False,2018-12-01
Germaine Ahidjo,1932-02-11,2021-04-20,False,2018-08-17
Riyaz Ahmad,1958-11-03,2021-04-29,True,2015-12-15
Farid Ahmed (musician),1960-10-03,2021-04-13,True,2019-11-09
Hussain Ahmed (footballer),1932-07-01,2021-04-16,True,2018-10-14
Maqbul Ahmed,1939-08-02,2021-04-13,False,2016-10-17
Moudud Ahmed,1940-05-24,2021-03-16,False,2005-08-03
Mushtaq Ahmed (writer),1967-12-05,2021-02-25,True,2021-02-28
Raifa Ahmed,1967-07-01,2021-03-15,False,2021-03-18
Raisuddin Ahmed,1939-07-01,2021-01-20,True,2010-08-28
Manzoor Ahtesham,1948-04-03,2021-04-26,True,2015-02-12
Sōichi Aikawa,1942-09-13,2021-01-25,False,2007-12-10
Peter Ainsworth,1956-11-16,2021-04-06,False,2002-09-27
Kōjirō Akagi,1934-01-03,2021-02-15,False,2011-11-16
Isamu Akasaki,1929-01-30,2021-04-01,False,2007-01-06
Yıldırım Akbulut,1935-09-02,2021-04-14,False,2005-11-03
Roza Akkuchukova,1950-02-12,2021-02-08,True,2021-02-08
Ahmed Al Khattab,1942-07-01,2021-05-09,False,2021-05-10
Sami Hasan Al Nash,1957-01-16,2021-05-10,True,2015-02-08
Fawzia Al-Abbasi,1940-07-01,2021-04-27,False,2021-04-28
Abdul Hadi al-Majali,1934-06-28,2021-02-10,True,2021-02-28
Muhammad Ali al-Sabuni,1930-01-01,2021-03-19,False,2021-03-19
Abdul Hakim Al-Taher,1949-07-01,2021-01-01,True,2021-01-03
Ezzat El Alaili,1934-09-15,2021-02-05,False,2017-06-07
Farid Alakbarli,1964-01-03,2021-04-07,False,2013-11-23
Oscar Albarado,1974-06-04,1975-01-21,False,2007-09-22
Marie Albe,1924-05-29,2021-01-05,False,2021-01-19
Stan Albeck,1931-05-17,2021-03-25,False,2006-02-22
Michel Alberganti,1955-05-25,2021-03-15,False,2021-03-27
Luigi Albertelli,1934-06-21,2021-02-19,False,2015-12-15
Rafael Albrecht,1941-08-23,2021-05-03,True,2007-06-10
Iñaki Aldekoa,1940-07-01,2021-04-08,False,2021-04-09
Jonathan Aldrich,1936-01-22,2021-01-06,False,2015-06-11
Josip Alebić,1947-01-07,2021-03-08,False,2011-02-19
Vassilis Alexakis,1943-12-25,2021-01-11,False,2007-09-14
Ruth H. Alexander,1938-04-17,2021-04-20,False,2019-03-18
