Name,Birth,Death,Covid,Created
Aa Jimmy,1983-01-15,2018-12-22,False,2018-12-23
Hans Aabech,1948-11-01,2018-01-08,False,2007-02-20
Alec Aalto,1942-04-21,2018-12-24,False,2017-09-10
Sam Aanestad,1946-07-16,2018-05-06,False,2006-02-06
Reyes Abades,1949-07-25,2018-02-01,False,2019-02-27
Pierre-Ernest Abandzounou,1940-04-21,2018-07-03,False,2010-04-13
Leila Abashidze,1929-08-01,2018-04-08,False,2008-02-28
Fortunato Abat,1925-06-10,2018-03-07,False,2010-05-28
Shuhrat Abbosov,1931-01-16,2018-04-25,False,2012-02-26
Robert Abbott (game designer),1933-03-02,2018-02-20,False,2004-06-05
Ignatius Peter VIII Abdalahad,1930-06-30,2018-04-04,False,2007-04-27
Abdul Manan Ismail,1948-06-28,2018-02-12,False,2008-04-24
Muhammad Abdul Wahhab,1923-01-01,2018-11-18,False,2007-11-21
Dilbar Abdurahmonova,1936-05-01,2018-03-20,False,2018-03-20
Kunihiro Abe,1968-04-21,2018-08-15,False,2018-08-28
Christopher E. Abebe,1919-04-21,2018-03-22,False,2019-09-29
Dik Abed,1944-10-22,2018-01-19,False,2018-01-29
Ron Abegglen,1937-08-19,2018-12-19,False,2009-01-03
Alan Abel,1924-08-02,2018-09-14,False,2004-08-03
"Sacha Hamilton, Duchess of Abercorn",1946-02-27,2018-12-10,False,2005-10-02
Anders Åberg,1945-04-16,2018-01-23,False,2018-01-23
Amsale Aberra,1954-03-01,2018-04-01,False,2007-11-13
Javed Abidi,1965-06-11,2018-03-04,False,2010-12-10
José Rafael Abinader,1929-03-02,2018-11-04,False,2014-08-23
Aminatu Abiodun,1924-12-24,2018-12-08,False,2019-02-28
Ibrahim Abiriga,1956-06-05,2018-06-08,False,2018-06-08
Ateyyat El Abnoudy,1939-11-26,2018-10-05,False,2018-09-20
Wale Aboderin,1958-04-21,2018-05-30,False,2018-07-29
Jon Ramon Aboitiz,1948-04-26,2018-11-30,False,2006-10-17
Kadhim Aboud,1948-07-01,2018-07-12,False,2019-09-24
Elihu Abrahams,1927-04-03,2018-10-18,False,2016-04-26
Max Abrahamson,1932-10-29,2018-10-07,False,2019-02-09
Göran Abrahamsson,1931-09-19,2018-03-06,False,2010-11-07
Alyosha Abrahamyan,1945-08-29,2018-08-26,False,2010-11-01
Yuri Abramochkin,1936-12-11,2018-04-05,False,2015-04-13
John N. Abrams,1946-09-03,2018-08-20,False,2007-08-13
Per Abramsen,1941-03-27,2018-03-13,False,2013-09-19
Paul R. Abramson (political scientist),1937-11-28,2018-02-12,False,2016-10-18
José Antonio Abreu,1939-05-07,2018-03-24,False,2006-05-15
Edward M. Abroms,1935-05-06,2018-02-13,False,2015-01-11
Abu Hassan Omar,1940-09-15,2018-09-08,False,2009-11-20
Napoleon Abueva,1930-01-26,2018-02-16,False,2005-12-02
Germán Aceros,1938-09-30,2018-10-29,False,2008-03-24
Anthony Acevedo,1924-07-31,2018-02-11,False,2018-03-09
Abdul Raziq Achakzai,1979-04-21,2018-10-18,False,2015-06-29
David Campion Acheson,1921-11-04,2018-08-16,False,2016-02-18
Joseph Achuzie,1929-04-21,2018-02-26,False,2013-04-26
Jewel Ackah,1945-04-21,2018-04-27,False,2018-11-23
William Acker,1927-10-25,2018-06-21,False,2007-06-16
William P. Acker,1930-10-22,2018-07-24,False,2013-06-03
Sonja Ackermann-Olsen,1934-03-13,2018-10-30,False,2019-06-27
Denis Adam,1924-02-01,2018-10-17,False,2011-06-26
Michel Adama-Tamboux,1928-12-03,2018-03-18,False,2018-03-20
Jozef Adamec,1942-02-26,2018-12-24,False,2006-03-18
Constance Adams,1964-07-16,2018-06-25,False,2006-02-09
Joe Adams (actor),1924-04-11,2018-07-03,False,2018-12-22
Peter Adams (politician),1936-04-17,2018-09-28,False,2003-10-18
Robert McCormick Adams Jr.,1926-07-23,2018-01-27,False,2004-12-07
Stephanie Adams,1970-07-24,2018-05-18,False,2005-05-21
Tate Adams,1922-01-22,2018-04-08,False,2010-06-03
Perry Miller Adato,1920-12-22,2018-09-16,False,2006-08-26
Adebayo Adedeji,1930-12-21,2018-04-25,False,2003-11-07
Abdilaqim Ademi,1969-12-20,2018-02-15,False,2011-06-01
Karl-Heinz Adler,1927-06-20,2018-11-04,False,2018-03-07
Françoise Adret,1920-08-07,2018-04-01,False,2012-02-16
Jan Adriaensens,1932-06-06,2018-10-02,False,2007-04-13
Dino Adriano,1943-04-24,2018-05-09,False,2018-06-05
Frank Aendenboom,1941-10-24,2018-03-31,False,2017-02-11
Yves Afonso,1944-02-13,2018-01-21,False,2008-01-30
Valentin Afraimovich,1945-04-02,2018-02-21,False,2010-05-25
Ben Agajanian,1919-08-28,2018-02-08,False,2006-02-12
Zarnigar Agakisiyeva,1945-11-06,2018-02-08,False,2018-02-11
Omar Aggad,1927-04-20,2018-02-01,False,2016-04-11
James Aggrey-Orleans,1937-10-11,2018-11-19,False,2018-11-23
John Agitation,1927-07-24,2018-02-05,False,2011-12-26
Mario Agnes,1931-12-06,2018-05-09,False,2019-05-22
Luigi Agnolin,1943-03-21,2018-09-29,False,2007-01-29
G. D. Agrawal,1932-07-20,2018-10-11,False,2010-03-03
Graciela Agudelo,1945-12-07,2018-04-19,False,2010-10-10
Juan Bautista Agüero,1935-06-24,2018-12-27,False,2008-08-10
Alfredo del Águila,1935-01-03,2018-07-26,False,2011-09-27
Dugan Aguilar,2007-04-21,2008-01-27,False,2011-09-20
Laura Aguilar,1959-10-26,2018-04-25,False,2013-03-24
Emmanuel Kwabena Kyeremateng Agyarko,1957-12-10,2018-11-21,False,2018-11-22
Rein Ahas,1966-12-10,2018-02-18,False,2014-11-26
Joseph A. Ahearn,1936-04-21,2018-07-10,False,2011-05-29
Lassie Lou Ahern,1920-06-25,2018-02-15,False,2013-03-30
Per Ahlmark,1939-01-15,2018-06-08,False,2005-07-22
Frayha Al-Ahmad,1944-02-15,2018-08-12,False,2018-08-16
Bujari Ahmed,1952-09-19,2018-04-03,False,2018-04-10
Mansoor Ahmed,1968-01-07,2018-05-12,False,2007-10-18
Tazin Ahmed,1975-07-30,2018-05-22,False,2018-05-22
Wahiduddin Ahmed,1923-01-01,2018-11-03,False,2016-07-04
Krishna Ahooja-Patel,1929-03-15,2018-12-27,False,2019-11-27
Ai Weiren,1932-04-21,2018-06-29,False,2018-07-06
Ai Xing,1924-08-24,2018-04-07,False,2019-02-19
Matthew Aid,1958-04-21,2018-08-20,False,2013-07-23
Andie Airfix,1946-08-27,2018-10-10,False,2018-11-05
Ian Aitken (journalist),1927-09-19,2018-02-21,False,2006-01-27
Michael Ajakwe Jr.,1965-10-12,2018-05-31,False,2018-08-24
Ajayan (director),1950-04-08,2018-12-13,False,2004-10-19
Daniel Akaka,1924-09-11,2018-04-06,False,2003-08-15
Mustapha Akanbi,1932-04-21,2018-06-03,False,2009-10-12
Brahim Akhiat,1941-04-21,2018-02-07,False,2018-02-10
Shammi Akhtar,1957-02-16,2018-01-16,False,2016-11-23
Akhumzi Jezile,1989-01-15,2018-04-28,False,2019-05-30
Denis Akiyama,1952-05-28,2018-06-28,False,2005-06-16
"Victor Brooke, 3rd Viscount Alanbrooke",1932-11-24,2018-01-10,False,2004-12-17
Ruth Alas,1960-08-05,2018-01-23,False,2016-03-17
Abbas Alasgarov,1937-12-13,2018-02-18,False,2010-11-24
Macià Alavedra,1934-03-26,2018-09-29,False,2013-11-09
Fernando Albán Salazar,1962-10-01,2018-10-08,False,2018-10-11
Ken Albiston,1926-11-11,2018-06-20,False,2007-10-12
Carmen Alborch,1947-10-31,2018-10-24,False,2008-07-30
Paul Alcock,1953-10-27,2018-01-29,False,2007-06-28
María José Alcón,1961-04-21,2018-06-16,False,2018-06-18
Gertrude Alderfer,1931-09-21,2018-02-27,False,2010-01-19
Grady Alderman,1938-12-10,2018-04-05,False,2006-02-26
William Aldous,1936-03-17,2018-03-17,False,2005-05-10
Carlos Aldunate Lyon,1916-05-16,2018-07-18,False,2018-07-20
Alona Alegre,1948-04-21,2018-12-09,False,2006-02-01
Claribel Alegría,1924-05-12,2018-01-25,False,2005-12-25
"Sergei Aleksandrov (footballer, born 1973)",1973-12-07,2018-02-21,False,2015-05-01
Fedora Alemán,1912-10-11,2018-02-06,False,2018-02-13
Cameron M. Alexander,1932-02-12,2018-12-30,False,2011-10-19
Jennie Alexander,1930-12-08,2018-07-12,False,2018-03-30
Meena Alexander,1951-02-17,2018-11-21,False,2007-02-26
Richard D. Alexander,1929-11-18,2018-08-20,False,2005-05-15
Lyudmila Alexeyeva,1927-07-20,2018-12-08,False,2008-10-01
Xiomara Alfaro,1930-05-11,2018-06-24,False,2010-12-14
Ali Akbar Rupu,1961-04-21,2018-02-22,False,2019-11-18
Ali-Akbar Hosseini,1939-04-21,2018-06-21,False,2020-01-16
Shawkat Ali (novelist),1936-02-12,2018-01-25,False,2009-11-10
Shirin Aliabadi,1973-03-10,2018-10-01,False,2016-05-02
Alias (musician),1976-04-05,2018-03-30,False,2006-09-04
Mario Alinei,1926-08-10,2018-08-09,False,2004-12-25
Abdon Alinovi,1923-05-06,2018-02-15,False,2018-02-15
Wakil Hussain Allahdad,1986-04-21,2018-04-22,False,2018-04-24
Rolande Allard-Lacerte,1929-07-17,2018-05-18,False,2014-12-23
